Sku,Title,Short Description,Price,Regular Price,images,Product categories,sub,Sub Sub
16-595,3/4 mm 2 Pcs Packet Ring Washer HMBR Brand,,10,10,https://fixit.com.bd/wp-content/uploads/2020/01/16-595A.jpg,Tools and Hardware,Screws Nails and Anchors,Washers
16-008,1 Inch Size 12pcs Packet Concrete Nail HMBR Brand,,12,12,https://fixit.com.bd/wp-content/uploads/2020/01/16-008.jpg,Tools and Hardware,Screws Nails and Anchors,Nails
20-1016,Size-8 Cable Clip with Pre-Installed Nail,,6,6,https://fixit.com.bd/wp-content/uploads/2020/01/20-1016A.jpg,Electrical,Electrical Tools and Accessories,Cable Clips
19-944,3 Inch Stainless Steel Basin Water Outlet Net Cover,,11,11,https://fixit.com.bd/wp-content/uploads/2020/01/19-944.jpg,Plumbing,Plumbing Accessories,Basin Net Cover
19-943,Stainless Steel Basin Water Outlet Net Cover,,14,14,https://fixit.com.bd/wp-content/uploads/2020/01/19-943.jpg,Plumbing,Plumbing Accessories,Basin Net Cover
16-766,3/4 Inch (12 Pcs Packet) Stainless Steel Star Cap Screw,,9,9,https://fixit.com.bd/wp-content/uploads/2020/01/16-766.jpg,Tools and Hardware,Screws Nails and Anchors,
20-169,Electric Starter use For Tube Light,,12,12,https://fixit.com.bd/wp-content/uploads/2020/01/20-169.jpg,Electrical,Electrical Tools and Accessories,Electric Starter
16-071,1.50 Inch (12 Pcs Packet) Metal Star Cap Screw,,13,14,https://fixit.com.bd/wp-content/uploads/2020/01/16-071.Jpg,Tools and Hardware,Screws Nails and Anchors,
16-946,Royal Bolt,,14,15,https://fixit.com.bd/wp-content/uploads/2020/01/16-946A.jpg,Tools and Hardware,Screws Nails and Anchors,Anchors
11-040,9 Inch X 11 Inch 1000 Grit Sandpaper HMBR Brand,,71,71,https://fixit.com.bd/wp-content/uploads/2020/01/11-040.jpg,Paint,Paint Supplies,Sandpaper Patching and Repairs
11-061,9 Inch X 11 Inch 600 Grit Sandpaper HMBR Brand,,71,71,https://fixit.com.bd/wp-content/uploads/2020/01/11-061.jpg,Paint,Paint Supplies,Sandpaper Patching and Repairs
05-1377,Big Size Stainless Steel Magnet Catch,,52,52,https://fixit.com.bd/wp-content/uploads/2020/01/05-1377.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Cabinet Latches
20-1331,60 Ampere Copper Metal Cable Lugs,,62,62,https://fixit.com.bd/wp-content/uploads/2020/01/20-1331.jpg,Electrical,Electrical Tools and Accessories,Lugs and Connectors
05-1191,Stainless Steel Pipe Holder Wall Mounting Install,,19,20,https://fixit.com.bd/wp-content/uploads/2020/01/05-1191.jpg,Plumbing,Pipes and Fittings,Steel Pipe and Fittings
16-245,25mm (2 Pcs Packet) Iron Nut Bolt,,19,20,https://fixit.com.bd/wp-content/uploads/2020/01/16-245.jpg,Tools and Hardware,Screws Nails and Anchors,Nuts
17-080,2.5 Inch Multi Color Plastic Key Holder/Tag,,19,20,https://fixit.com.bd/wp-content/uploads/2020/01/17-080.jpg,Tools and Hardware,Keys and Accessories,
20-1000,2 Round Pin 6 Ampere Black Color Plug,,19,20,https://fixit.com.bd/wp-content/uploads/2020/01/20-1000.jpg,Electrical,Dimmers Switches and Outlets,Plugs and Connectors
26-2980,1.55V AG1/364A Alkaline Battery TIAN QIU Brand,,19,20,https://fixit.com.bd/wp-content/uploads/2020/01/26-2980A.jpg,Electrical,Batteries,Household Batteries
11-062,9 Inch X 11 Inch 1500 Grit Sandpaper HMBR Brand,,81,81,https://fixit.com.bd/wp-content/uploads/2020/01/11-062.jpg,Paint,Paint Supplies,Sandpaper Patching and Repairs
11-101,9 Inch X 11 Inch 120 Grit Sandpaper HMBR Brand,,12,12,https://fixit.com.bd/wp-content/uploads/2020/01/11-101.jpg,Paint,Paint Supplies,Sandpaper Patching and Repairs
19-1005,19 mm Stainless Steel Pipe Socket Wall Mounting Concealed,,206,206,https://fixit.com.bd/wp-content/uploads/2020/01/19-1005.jpg,Plumbing,Pipes and Fittings,Steel Pipe and Fittings
26-2976,1.5 Volts AA-Size Battery Chinese Brand,,24,25,https://fixit.com.bd/wp-content/uploads/2020/01/26-2976.jpg,Electrical,Batteries,Household Batteries
26-3496,Stainless Steel Key Holder Blue Football Design,,25,30,https://fixit.com.bd/wp-content/uploads/2020/01/26-3496.jpg,Tools and Hardware,Keys and Accessories,
16-472,2 Inch (12 Pcs Packet) Metal Star Screw MK Brand,,67,67,https://fixit.com.bd/wp-content/uploads/2020/01/16-472.jpg,Tools and Hardware,Screws Nails and Anchors,
10-006,7 Inch Paint Roller HMBR Brand,,164,164,https://fixit.com.bd/wp-content/uploads/2020/01/10-006.jpg,Paint,Paint Supplies,Paint Rollers
01-408,12 Inch Red Metal Caulking Gun HMBR Brand for Silicone Sealent Ejection,,180,180,https://fixit.com.bd/wp-content/uploads/2020/01/01-408.jpg,Paint,Caulking and Sealants,Sealants
30-480,400 ml Green Color Spray Paint Star Brand,,181,181,https://fixit.com.bd/wp-content/uploads/2020/01/30-480.jpg,Paint,Spray Paint,General Purpose
10-009,9 Inch Paint Roller HMBR Brand,,221,221,https://fixit.com.bd/wp-content/uploads/2020/01/10-009.jpg,Paint,Paint Supplies,Paint Rollers
30-477,400 ml Flat Black Color Spray Paint Bosny Brand,,238,238,https://fixit.com.bd/wp-content/uploads/2020/01/30-477.jpg,Paint,Spray Paint,General Purpose
30-204,400 ml White Color Spray Paint Bosny Brand,,238,238,https://fixit.com.bd/wp-content/uploads/2020/01/30-204.jpg,Paint,Spray Paint,General Purpose
30-411,400 ml Maroon Color Spray Paint Bosny Brand,,264,264,https://fixit.com.bd/wp-content/uploads/2020/01/30-411.jpg,Paint,Spray Paint,General Purpose
30-242,400 ml Purple Fluorescent Spray Paint Bosny Brand,,290,290,https://fixit.com.bd/wp-content/uploads/2020/01/30-242.jpg,Paint,Spray Paint,General Purpose
30-497,400 ml Fluorescent Orange Color Spray Paint bosny Brand,,290,290,https://fixit.com.bd/wp-content/uploads/2020/01/30-497.jpg,Paint,Spray Paint,General Purpose
26-3636,Fast Track Adhesive Spray for Fabric TPR-99 Brand Quick Tack Non Staining and Non Wrinkling,,492,492,https://fixit.com.bd/wp-content/uploads/2020/01/26-3636A.jpg,Paint,Duct Tape Glues and Epoxy,Glues and Epoxy
30-206,800 ml All Purpose Paint Remover Bosny Brand,,506,533,https://fixit.com.bd/wp-content/uploads/2020/01/30-206.jpg,Paint,Paint Supplies,Paint Remover
30-505,Mod Podge Gloss Waterbase Sealer Glue and Finish - 4 oz,,800,864,https://fixit.com.bd/wp-content/uploads/2020/01/30-505.jpg,Paint,Craft and Art Supplies,Clay and Modeling Materials
